iter	Passed	Remaining
0	147	147651
1	150	75105
2	153	50993
3	156	38978
4	159	31724
5	162	26875
6	164	23404
7	167	20805
8	170	18787
9	173	17180
10	176	15847
11	179	14753
12	181	13809
13	184	13008
14	187	12323
15	190	11711
16	193	11174
17	196	10695
18	198	10268
19	201	9885
20	204	9538
21	207	9220
22	210	8935
23	213	8667
24	216	8427
25	218	8197
26	221	7990
27	224	7794
28	227	7609
29	230	7443
30	233	7284
31	235	7136
32	238	6994
33	241	6861
34	244	6737
35	247	6625
36	250	6512
37	253	6407
38	255	6303
39	258	6205
40	261	6113
41	264	6025
42	266	5941
43	269	5861
44	272	5785
45	275	5710
46	278	5640
47	281	5573
48	283	5506
49	286	5442
50	289	5381
51	292	5324
52	294	5268
53	297	5214
54	300	5162
55	303	5113
56	306	5066
57	309	5020
58	311	4975
59	314	4931
60	317	4887
61	320	4844
62	323	4805
63	325	4766
64	328	4728
65	331	4692
66	334	4656
67	337	4623
68	340	4588
69	342	4554
70	345	4523
71	348	4492
72	351	4460
73	354	4433
74	357	4406
75	359	4376
76	362	4346
77	365	4318
78	368	4293
79	371	4267
80	373	4243
81	376	4218
82	379	4193
83	382	4168
84	385	4152
85	389	4137
86	392	4117
87	395	4095
88	398	4074
89	400	4052
90	403	4031
91	406	4011
92	409	3990
93	411	3970
94	414	3951
95	417	3930
96	420	3911
97	422	3892
98	425	3873
99	428	3855
100	431	3837
101	433	3820
102	436	3803
103	439	3785
104	442	3769
105	445	3754
106	447	3738
107	450	3723
108	453	3708
109	456	3693
110	459	3679
111	462	3664
112	465	3650
113	467	3635
114	470	3621
115	473	3608
116	476	3594
117	478	3580
118	481	3565
119	484	3552
120	487	3539
121	490	3528
122	493	3515
123	495	3502
124	498	3490
125	501	3478
126	504	3467
127	507	3455
128	509	3442
129	512	3430
130	515	3419
131	518	3407
132	521	3396
133	523	3385
134	526	3374
135	529	3363
136	532	3352
137	535	3342
138	537	3331
139	540	3321
140	544	3315
141	547	3309
142	551	3305
143	554	3298
144	557	3288
145	560	3278
146	563	3268
147	566	3259
148	568	3249
149	571	3240
150	574	3230
151	577	3220
152	580	3211
153	582	3201
154	585	3192
155	588	3183
156	591	3173
157	593	3165
158	596	3156
159	599	3147
160	602	3138
161	605	3130
162	607	3121
163	610	3113
164	613	3104
165	616	3095
166	618	3087
167	621	3078
168	624	3070
169	627	3062
170	630	3054
171	632	3046
172	635	3038
173	638	3029
174	641	3023
175	645	3019
176	648	3015
177	652	3012
178	655	3008
179	658	3001
180	661	2993
181	664	2986
182	667	2978
183	669	2971
184	672	2964
185	675	2956
186	678	2949
187	681	2941
188	683	2934
189	686	2927
190	689	2920
191	692	2913
192	694	2905
193	697	2898
194	700	2891
195	703	2885
196	706	2878
197	708	2871
198	711	2864
199	714	2857
200	717	2850
201	720	2844
202	722	2837
203	725	2831
204	728	2824
205	731	2818
206	734	2812
207	736	2805
208	739	2798
209	743	2795
210	746	2791
